OBJECTID,Station_Name,Depth,Parameter,Concentration,Unit,Monitoring_Location,Date_of_Sample
3968,WW227,0.2,Dissolved Oxygen - 00300,8.8,mg/l,Woonasquatucket River @ Donigian Park,2019/10/05 00:00:00+00
3969,WW227,0.2,Temperature - 00011,13.2,C,Woonasquatucket River @ Donigian Park,2019/10/05 00:00:00+00
3970,WW227,,"Depth to bottom from water surface at sampling location, meters - 82903",1.8,m,Woonasquatucket River @ Donigian Park,2019/10/19 00:00:00+00
3971,WW227,0.3,Dissolved Oxygen - 00300,9.3,mg/l,Woonasquatucket River @ Donigian Park,2019/10/19 00:00:00+00
3972,WW227,0.3,Enterococci - 31639,253,MPN/100,Woonasquatucket River @ Donigian Park,2019/10/19 00:00:00+00
3973,WW227,0.3,"Nitrate + Nitrite, Dissolved - 00631",0.28,mg/l,Woonasquatucket River @ Donigian Park,2019/10/19 00:00:00+00
3974,WW227,0.3,"Nitrogen, Ammonia Dissolved as N - 00608",0.02,mg/l,Woonasquatucket River @ Donigian Park,2019/10/19 00:00:00+00
3975,WW227,0.3,"Nitrogen, Total (unfiltered) - 00600",0.6,mg/l,Woonasquatucket River @ Donigian Park,2019/10/19 00:00:00+00
3976,WW227,0.3,pH - 00400,7.17,S.U.,Woonasquatucket River @ Donigian Park,2019/10/19 00:00:00+00
3977,WW227,0.3,"Phosphorus, Dissolved - 00666",9,ug/l,Woonasquatucket River @ Donigian Park,2019/10/19 00:00:00+00
3978,WW227,0.3,"Phosphorus, Total - 00665",23,ug/l,Woonasquatucket River @ Donigian Park,2019/10/19 00:00:00+00
3979,WW227,0.3,Temperature - 00011,11.7,C,Woonasquatucket River @ Donigian Park,2019/10/19 00:00:00+00
3980,WW23,1,Alkalinity - 00410,3.97,mg/l,Long Pond (South Kingstown),2019/05/10 00:00:00+00
3981,WW23,1,Chloride - 00940,6,mg/l,Long Pond (South Kingstown),2019/05/10 00:00:00+00
3982,WW23,6,Chloride - 00940,6,mg/l,Long Pond (South Kingstown),2019/05/10 00:00:00+00
3983,WW23,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",2.6,ug/l,Long Pond (South Kingstown),2019/05/10 00:00:00+00
3984,WW23,,"Depth to bottom from water surface at sampling location, meters - 82903",7.9,m,Long Pond (South Kingstown),2019/05/10 00:00:00+00
3985,WW23,1,Dissolved Oxygen - 00300,6.4,mg/l,Long Pond (South Kingstown),2019/05/10 00:00:00+00
3986,WW23,6,Dissolved Oxygen - 00300,8.8,mg/l,Long Pond (South Kingstown),2019/05/10 00:00:00+00
3987,WW23,0.5,Enterococci - 31639,2,MPN/100,Long Pond (South Kingstown),2019/05/10 00:00:00+00
3988,WW23,1,"Nitrate + Nitrite, Dissolved - 00631",0.0075,mg/l,Long Pond (South Kingstown),2019/05/10 00:00:00+00
3989,WW23,6,"Nitrate + Nitrite, Dissolved - 00631",0.0075,mg/l,Long Pond (South Kingstown),2019/05/10 00:00:00+00
3990,WW23,1,"Nitrogen, Ammonia Dissolved as N - 00608",0.05,mg/l,Long Pond (South Kingstown),2019/05/10 00:00:00+00
3991,WW23,6,"Nitrogen, Ammonia Dissolved as N - 00608",0.04,mg/l,Long Pond (South Kingstown),2019/05/10 00:00:00+00
3992,WW23,1,"Nitrogen, Total (unfiltered) - 00600",0.4,mg/l,Long Pond (South Kingstown),2019/05/10 00:00:00+00
3993,WW23,6,"Nitrogen, Total (unfiltered) - 00600",0.59,mg/l,Long Pond (South Kingstown),2019/05/10 00:00:00+00
3994,WW23,1,pH - 00400,6.61,S.U.,Long Pond (South Kingstown),2019/05/10 00:00:00+00
3995,WW23,6,pH - 00400,6.51,S.U.,Long Pond (South Kingstown),2019/05/10 00:00:00+00
3996,WW23,1,"Phosphorus, Dissolved - 00666",7,ug/l,Long Pond (South Kingstown),2019/05/10 00:00:00+00
3997,WW23,6,"Phosphorus, Dissolved - 00666",6,ug/l,Long Pond (South Kingstown),2019/05/10 00:00:00+00
3998,WW23,1,"Phosphorus, Total - 00665",13,ug/l,Long Pond (South Kingstown),2019/05/10 00:00:00+00
3999,WW23,6,"Phosphorus, Total - 00665",13,ug/l,Long Pond (South Kingstown),2019/05/10 00:00:00+00
4000,WW23,,Secchi Depth - 00069,4.1,m,Long Pond (South Kingstown),2019/05/10 00:00:00+00
4001,WW23,1,Temperature - 00011,15,C,Long Pond (South Kingstown),2019/05/10 00:00:00+00
4002,WW23,6,Temperature - 00011,14,C,Long Pond (South Kingstown),2019/05/10 00:00:00+00
4003,WW23,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",1.1,ug/l,Long Pond (South Kingstown),2019/05/26 00:00:00+00
4004,WW23,,"Depth to bottom from water surface at sampling location, meters - 82903",8.1,m,Long Pond (South Kingstown),2019/05/26 00:00:00+00
4005,WW23,1,Dissolved Oxygen - 00300,7.7,mg/l,Long Pond (South Kingstown),2019/05/26 00:00:00+00
4006,WW23,6,Dissolved Oxygen - 00300,7.3,mg/l,Long Pond (South Kingstown),2019/05/26 00:00:00+00
4007,WW23,,Secchi Depth - 00069,6.6,m,Long Pond (South Kingstown),2019/05/26 00:00:00+00
4008,WW23,1,Temperature - 00011,19,C,Long Pond (South Kingstown),2019/05/26 00:00:00+00
4009,WW23,6,Temperature - 00011,16,C,Long Pond (South Kingstown),2019/05/26 00:00:00+00
4010,WW23,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",0.6,ug/l,Long Pond (South Kingstown),2019/06/08 00:00:00+00
4011,WW23,,"Depth to bottom from water surface at sampling location, meters - 82903",8,m,Long Pond (South Kingstown),2019/06/08 00:00:00+00
4012,WW23,1,Dissolved Oxygen - 00300,7.9,mg/l,Long Pond (South Kingstown),2019/06/08 00:00:00+00
4013,WW23,6,Dissolved Oxygen - 00300,8.1,mg/l,Long Pond (South Kingstown),2019/06/08 00:00:00+00
4014,WW23,,Secchi Depth - 00069,4.8,m,Long Pond (South Kingstown),2019/06/08 00:00:00+00
4015,WW23,1,Temperature - 00011,20,C,Long Pond (South Kingstown),2019/06/08 00:00:00+00
4016,WW23,6,Temperature - 00011,17,C,Long Pond (South Kingstown),2019/06/08 00:00:00+00
4017,WW23,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",0.7,ug/l,Long Pond (South Kingstown),2019/06/23 00:00:00+00
4018,WW23,,"Depth to bottom from water surface at sampling location, meters - 82903",8.1,m,Long Pond (South Kingstown),2019/06/23 00:00:00+00
4019,WW23,1,Dissolved Oxygen - 00300,7.9,mg/l,Long Pond (South Kingstown),2019/06/23 00:00:00+00
4020,WW23,6,Dissolved Oxygen - 00300,9.1,mg/l,Long Pond (South Kingstown),2019/06/23 00:00:00+00
4021,WW23,,Secchi Depth - 00069,6.1,m,Long Pond (South Kingstown),2019/06/23 00:00:00+00
4022,WW23,1,Temperature - 00011,23,C,Long Pond (South Kingstown),2019/06/23 00:00:00+00
4023,WW23,6,Temperature - 00011,18,C,Long Pond (South Kingstown),2019/06/23 00:00:00+00
4024,WW23,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",1.3,ug/l,Long Pond (South Kingstown),2019/07/05 00:00:00+00
4025,WW23,,"Depth to bottom from water surface at sampling location, meters - 82903",8.1,m,Long Pond (South Kingstown),2019/07/05 00:00:00+00
4026,WW23,1,Dissolved Oxygen - 00300,7.1,mg/l,Long Pond (South Kingstown),2019/07/05 00:00:00+00
4027,WW23,6,Dissolved Oxygen - 00300,8.4,mg/l,Long Pond (South Kingstown),2019/07/05 00:00:00+00
4028,WW23,,Secchi Depth - 00069,6.9,m,Long Pond (South Kingstown),2019/07/05 00:00:00+00
4029,WW23,1,Temperature - 00011,27,C,Long Pond (South Kingstown),2019/07/05 00:00:00+00
4030,WW23,6,Temperature - 00011,20,C,Long Pond (South Kingstown),2019/07/05 00:00:00+00
4031,WW23,1,Alkalinity - 00410,3.43,mg/l,Long Pond (South Kingstown),2019/07/20 00:00:00+00
4032,WW23,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",2.3,ug/l,Long Pond (South Kingstown),2019/07/20 00:00:00+00
4033,WW23,,"Depth to bottom from water surface at sampling location, meters - 82903",8.2,m,Long Pond (South Kingstown),2019/07/20 00:00:00+00
4034,WW23,1,Dissolved Oxygen - 00300,6.9,mg/l,Long Pond (South Kingstown),2019/07/20 00:00:00+00
4035,WW23,6,Dissolved Oxygen - 00300,8.9,mg/l,Long Pond (South Kingstown),2019/07/20 00:00:00+00
4036,WW23,0.5,Enterococci - 31639,0.1,MPN/100,Long Pond (South Kingstown),2019/07/20 00:00:00+00
4037,WW23,1,"Nitrate + Nitrite, Dissolved - 00631",0.0075,mg/l,Long Pond (South Kingstown),2019/07/20 00:00:00+00
4038,WW23,6,"Nitrate + Nitrite, Dissolved - 00631",0.0075,mg/l,Long Pond (South Kingstown),2019/07/20 00:00:00+00
4039,WW23,1,"Nitrogen, Ammonia Dissolved as N - 00608",0.03,mg/l,Long Pond (South Kingstown),2019/07/20 00:00:00+00
4040,WW23,6,"Nitrogen, Ammonia Dissolved as N - 00608",0.05,mg/l,Long Pond (South Kingstown),2019/07/20 00:00:00+00
4041,WW23,1,"Nitrogen, Total (unfiltered) - 00600",0.37,mg/l,Long Pond (South Kingstown),2019/07/20 00:00:00+00
4042,WW23,6,"Nitrogen, Total (unfiltered) - 00600",0.54,mg/l,Long Pond (South Kingstown),2019/07/20 00:00:00+00
4043,WW23,1,pH - 00400,6.49,S.U.,Long Pond (South Kingstown),2019/07/20 00:00:00+00
4044,WW23,6,pH - 00400,6.45,S.U.,Long Pond (South Kingstown),2019/07/20 00:00:00+00
4045,WW23,1,"Phosphorus, Dissolved - 00666",7,ug/l,Long Pond (South Kingstown),2019/07/20 00:00:00+00
4046,WW23,6,"Phosphorus, Dissolved - 00666",5,ug/l,Long Pond (South Kingstown),2019/07/20 00:00:00+00
4047,WW23,1,"Phosphorus, Total - 00665",10,ug/l,Long Pond (South Kingstown),2019/07/20 00:00:00+00
4048,WW23,6,"Phosphorus, Total - 00665",13,ug/l,Long Pond (South Kingstown),2019/07/20 00:00:00+00
4049,WW23,,Secchi Depth - 00069,5.7,m,Long Pond (South Kingstown),2019/07/20 00:00:00+00
4050,WW23,1,Temperature - 00011,27,C,Long Pond (South Kingstown),2019/07/20 00:00:00+00
4051,WW23,6,Temperature - 00011,22,C,Long Pond (South Kingstown),2019/07/20 00:00:00+00
4052,WW23,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",2.6,ug/l,Long Pond (South Kingstown),2019/08/02 00:00:00+00
4053,WW23,,"Depth to bottom from water surface at sampling location, meters - 82903",8.2,m,Long Pond (South Kingstown),2019/08/02 00:00:00+00
4054,WW23,1,Dissolved Oxygen - 00300,7.7,mg/l,Long Pond (South Kingstown),2019/08/02 00:00:00+00
4055,WW23,6,Dissolved Oxygen - 00300,4.6,mg/l,Long Pond (South Kingstown),2019/08/02 00:00:00+00
4056,WW23,,Secchi Depth - 00069,5.2,m,Long Pond (South Kingstown),2019/08/02 00:00:00+00
4057,WW23,1,Temperature - 00011,28,C,Long Pond (South Kingstown),2019/08/02 00:00:00+00
4058,WW23,6,Temperature - 00011,23,C,Long Pond (South Kingstown),2019/08/02 00:00:00+00
4059,WW23,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",10.7,ug/l,Long Pond (South Kingstown),2019/08/17 00:00:00+00
4060,WW23,,"Depth to bottom from water surface at sampling location, meters - 82903",8.2,m,Long Pond (South Kingstown),2019/08/17 00:00:00+00
4061,WW23,1,Dissolved Oxygen - 00300,7.8,mg/l,Long Pond (South Kingstown),2019/08/17 00:00:00+00
4062,WW23,6,Dissolved Oxygen - 00300,6.8,mg/l,Long Pond (South Kingstown),2019/08/17 00:00:00+00
4063,WW23,,Secchi Depth - 00069,3.58,m,Long Pond (South Kingstown),2019/08/17 00:00:00+00
4064,WW23,1,Temperature - 00011,25,C,Long Pond (South Kingstown),2019/08/17 00:00:00+00
4065,WW23,6,Temperature - 00011,22,C,Long Pond (South Kingstown),2019/08/17 00:00:00+00
4066,WW23,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",5.9,ug/l,Long Pond (South Kingstown),2019/08/31 00:00:00+00
4067,WW23,,"Depth to bottom from water surface at sampling location, meters - 82903",8.1,m,Long Pond (South Kingstown),2019/08/31 00:00:00+00
4068,WW23,1,Dissolved Oxygen - 00300,6.7,mg/l,Long Pond (South Kingstown),2019/08/31 00:00:00+00
4069,WW23,6,Dissolved Oxygen - 00300,1.4,mg/l,Long Pond (South Kingstown),2019/08/31 00:00:00+00
4070,WW23,,Secchi Depth - 00069,4.3,m,Long Pond (South Kingstown),2019/08/31 00:00:00+00
4071,WW23,1,Temperature - 00011,25,C,Long Pond (South Kingstown),2019/08/31 00:00:00+00
4072,WW23,6,Temperature - 00011,22,C,Long Pond (South Kingstown),2019/08/31 00:00:00+00
4073,WW23,1,Alkalinity - 00410,3.5,mg/l,Long Pond (South Kingstown),2019/09/21 00:00:00+00
4074,WW23,1,Alkalinity - 00410,7.23,mg/l,Long Pond (South Kingstown),2019/09/21 00:00:00+00
4075,WW23,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",8.8,ug/l,Long Pond (South Kingstown),2019/09/21 00:00:00+00
4076,WW23,,"Depth to bottom from water surface at sampling location, meters - 82903",8.1,m,Long Pond (South Kingstown),2019/09/21 00:00:00+00
4077,WW23,1,Dissolved Oxygen - 00300,7.4,mg/l,Long Pond (South Kingstown),2019/09/21 00:00:00+00
4078,WW23,6,Dissolved Oxygen - 00300,6.8,mg/l,Long Pond (South Kingstown),2019/09/21 00:00:00+00
4079,WW23,0.5,Enterococci - 31639,0.1,MPN/100,Long Pond (South Kingstown),2019/09/21 00:00:00+00
4080,WW23,1,"Nitrate + Nitrite, Dissolved - 00631",0.02,mg/l,Long Pond (South Kingstown),2019/09/21 00:00:00+00
4081,WW23,6,"Nitrate + Nitrite, Dissolved - 00631",0.02,mg/l,Long Pond (South Kingstown),2019/09/21 00:00:00+00
4082,WW23,1,"Nitrogen, Ammonia Dissolved as N - 00608",0.12,mg/l,Long Pond (South Kingstown),2019/09/21 00:00:00+00
4083,WW23,6,"Nitrogen, Ammonia Dissolved as N - 00608",0.05,mg/l,Long Pond (South Kingstown),2019/09/21 00:00:00+00
4084,WW23,1,"Nitrogen, Total (unfiltered) - 00600",0.4,mg/l,Long Pond (South Kingstown),2019/09/21 00:00:00+00
4085,WW23,6,"Nitrogen, Total (unfiltered) - 00600",0.53,mg/l,Long Pond (South Kingstown),2019/09/21 00:00:00+00
4086,WW23,1,pH - 00400,5.9,S.U.,Long Pond (South Kingstown),2019/09/21 00:00:00+00
4087,WW23,1,pH - 00400,6.06,S.U.,Long Pond (South Kingstown),2019/09/21 00:00:00+00
4088,WW23,6,pH - 00400,7,S.U.,Long Pond (South Kingstown),2019/09/21 00:00:00+00
4089,WW23,1,"Phosphorus, Dissolved - 00666",8,ug/l,Long Pond (South Kingstown),2019/09/21 00:00:00+00
4090,WW23,6,"Phosphorus, Dissolved - 00666",13,ug/l,Long Pond (South Kingstown),2019/09/21 00:00:00+00
4091,WW23,1,"Phosphorus, Total - 00665",5,ug/l,Long Pond (South Kingstown),2019/09/21 00:00:00+00
4092,WW23,6,"Phosphorus, Total - 00665",16,ug/l,Long Pond (South Kingstown),2019/09/21 00:00:00+00
4093,WW23,,Secchi Depth - 00069,3.9,m,Long Pond (South Kingstown),2019/09/21 00:00:00+00
4094,WW23,1,Temperature - 00011,21,C,Long Pond (South Kingstown),2019/09/21 00:00:00+00
4095,WW23,6,Temperature - 00011,20,C,Long Pond (South Kingstown),2019/09/21 00:00:00+00
4096,WW23,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",10.5,ug/l,Long Pond (South Kingstown),2019/10/05 00:00:00+00
4097,WW23,,"Depth to bottom from water surface at sampling location, meters - 82903",8.1,m,Long Pond (South Kingstown),2019/10/05 00:00:00+00
4098,WW23,1,Dissolved Oxygen - 00300,5.5,mg/l,Long Pond (South Kingstown),2019/10/05 00:00:00+00
4099,WW23,6,Dissolved Oxygen - 00300,6,mg/l,Long Pond (South Kingstown),2019/10/05 00:00:00+00
4100,WW23,,Secchi Depth - 00069,3.8,m,Long Pond (South Kingstown),2019/10/05 00:00:00+00
4101,WW23,1,Temperature - 00011,18,C,Long Pond (South Kingstown),2019/10/05 00:00:00+00
4102,WW23,6,Temperature - 00011,18,C,Long Pond (South Kingstown),2019/10/05 00:00:00+00
4103,WW23,1,Alkalinity - 00410,3.73,mg/l,Long Pond (South Kingstown),2019/10/18 00:00:00+00
4104,WW23,1,Chloride - 00940,7,mg/l,Long Pond (South Kingstown),2019/10/18 00:00:00+00
4105,WW23,6,Chloride - 00940,7,mg/l,Long Pond (South Kingstown),2019/10/18 00:00:00+00
4106,WW23,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",13,ug/l,Long Pond (South Kingstown),2019/10/18 00:00:00+00
4107,WW23,,"Depth to bottom from water surface at sampling location, meters - 82903",8.1,m,Long Pond (South Kingstown),2019/10/18 00:00:00+00
4108,WW23,1,Dissolved Oxygen - 00300,8.9,mg/l,Long Pond (South Kingstown),2019/10/18 00:00:00+00
4109,WW23,6,Dissolved Oxygen - 00300,8.2,mg/l,Long Pond (South Kingstown),2019/10/18 00:00:00+00
4110,WW23,0.5,Enterococci - 31639,1,MPN/100,Long Pond (South Kingstown),2019/10/18 00:00:00+00
4111,WW23,1,"Nitrate + Nitrite, Dissolved - 00631",0.015,mg/l,Long Pond (South Kingstown),2019/10/18 00:00:00+00
4112,WW23,6,"Nitrate + Nitrite, Dissolved - 00631",0.015,mg/l,Long Pond (South Kingstown),2019/10/18 00:00:00+00
4113,WW23,1,"Nitrogen, Ammonia Dissolved as N - 00608",0.03,mg/l,Long Pond (South Kingstown),2019/10/18 00:00:00+00
4114,WW23,6,"Nitrogen, Ammonia Dissolved as N - 00608",0.045,mg/l,Long Pond (South Kingstown),2019/10/18 00:00:00+00
4115,WW23,1,"Nitrogen, Total (unfiltered) - 00600",0.415,mg/l,Long Pond (South Kingstown),2019/10/18 00:00:00+00
4116,WW23,6,"Nitrogen, Total (unfiltered) - 00600",0.57,mg/l,Long Pond (South Kingstown),2019/10/18 00:00:00+00
4117,WW23,1,pH - 00400,6.32,S.U.,Long Pond (South Kingstown),2019/10/18 00:00:00+00
4118,WW23,6,pH - 00400,6.65,S.U.,Long Pond (South Kingstown),2019/10/18 00:00:00+00
4119,WW23,1,"Phosphorus, Dissolved - 00666",7,ug/l,Long Pond (South Kingstown),2019/10/18 00:00:00+00
4120,WW23,6,"Phosphorus, Dissolved - 00666",5,ug/l,Long Pond (South Kingstown),2019/10/18 00:00:00+00
4121,WW23,1,"Phosphorus, Total - 00665",10,ug/l,Long Pond (South Kingstown),2019/10/18 00:00:00+00
4122,WW23,6,"Phosphorus, Total - 00665",14,ug/l,Long Pond (South Kingstown),2019/10/18 00:00:00+00
4123,WW23,,Secchi Depth - 00069,3.9,m,Long Pond (South Kingstown),2019/10/18 00:00:00+00
4124,WW23,1,Temperature - 00011,15,C,Long Pond (South Kingstown),2019/10/18 00:00:00+00
4125,WW23,6,Temperature - 00011,14,C,Long Pond (South Kingstown),2019/10/18 00:00:00+00
4126,WW232,0.1,Chloride - 00940,42,mg/l,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/05/10 00:00:00+00
4127,WW232,,"Depth to bottom from water surface at sampling location, meters - 82903",0.3,m,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/05/10 00:00:00+00
4128,WW232,0.1,Dissolved Oxygen - 00300,7.9,mg/l,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/05/10 00:00:00+00
4129,WW232,0.1,Enterococci - 31639,12.6,MPN/100,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/05/10 00:00:00+00
4130,WW232,0.1,Fecal Coliform - 74055,86,MPN/100,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/05/10 00:00:00+00
4131,WW232,0.1,"Nitrate + Nitrite, Dissolved - 00631",2.455,mg/l,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/05/10 00:00:00+00
4132,WW232,0.1,"Nitrogen, Ammonia Dissolved as N - 00608",0.025,mg/l,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/05/10 00:00:00+00
4133,WW232,0.1,"Nitrogen, Total (unfiltered) - 00600",2.68,mg/l,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/05/10 00:00:00+00
4134,WW232,0.1,pH - 00400,6.61,S.U.,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/05/10 00:00:00+00
4135,WW232,0.1,"Phosphorus, Dissolved - 00666",6,ug/l,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/05/10 00:00:00+00
4136,WW232,0.1,"Phosphorus, Total - 00665",16,ug/l,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/05/10 00:00:00+00
4137,WW232,0.1,Temperature - 00011,13.4,C,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/05/10 00:00:00+00
4138,WW232,,"Depth to bottom from water surface at sampling location, meters - 82903",0.2,m,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/06/04 00:00:00+00
4139,WW232,0.1,Dissolved Oxygen - 00300,7.2,mg/l,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/06/04 00:00:00+00
4140,WW232,0.1,Temperature - 00011,15.2,C,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/06/04 00:00:00+00
4141,WW232,0.1,Chloride - 00940,48,mg/l,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/06/08 00:00:00+00
4142,WW232,0.1,Enterococci - 31639,76.8,MPN/100,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/06/08 00:00:00+00
4143,WW232,0.1,Fecal Coliform - 74055,201,MPN/100,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/06/08 00:00:00+00
4144,WW232,0.1,"Nitrate + Nitrite, Dissolved - 00631",2.405,mg/l,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/06/08 00:00:00+00
4145,WW232,0.1,"Nitrogen, Ammonia Dissolved as N - 00608",0.03,mg/l,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/06/08 00:00:00+00
4146,WW232,0.1,"Nitrogen, Total (unfiltered) - 00600",2.625,mg/l,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/06/08 00:00:00+00
4147,WW232,0.1,pH - 00400,6.84,S.U.,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/06/08 00:00:00+00
4148,WW232,0.1,"Phosphorus, Dissolved - 00666",9,ug/l,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/06/08 00:00:00+00
4149,WW232,0.1,"Phosphorus, Total - 00665",19,ug/l,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/06/08 00:00:00+00
4150,WW232,,"Depth to bottom from water surface at sampling location, meters - 82903",0.19,m,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/06/23 00:00:00+00
4151,WW232,0.1,Dissolved Oxygen - 00300,4.8,mg/l,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/06/23 00:00:00+00
4152,WW232,0.1,Temperature - 00011,16.9,C,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/06/23 00:00:00+00
4153,WW232,,"Depth to bottom from water surface at sampling location, meters - 82903",0.2,m,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/07/09 00:00:00+00
4154,WW232,0.1,Dissolved Oxygen - 00300,5.7,mg/l,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/07/09 00:00:00+00
4155,WW232,0.1,Temperature - 00011,18.3,C,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/07/09 00:00:00+00
4156,WW232,0.1,Enterococci - 31639,138,MPN/100,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/07/20 00:00:00+00
4157,WW232,0.1,Fecal Coliform - 74055,510,MPN/100,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/07/20 00:00:00+00
4158,WW232,0.1,"Nitrate + Nitrite, Dissolved - 00631",1.64,mg/l,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/07/20 00:00:00+00
4159,WW232,0.1,"Nitrogen, Ammonia Dissolved as N - 00608",0.035,mg/l,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/07/20 00:00:00+00
4160,WW232,0.1,"Nitrogen, Total (unfiltered) - 00600",1.82,mg/l,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/07/20 00:00:00+00
4161,WW232,0.1,pH - 00400,7.16,S.U.,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/07/20 00:00:00+00
4162,WW232,0.1,"Phosphorus, Dissolved - 00666",13,ug/l,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/07/20 00:00:00+00
4163,WW232,0.1,"Phosphorus, Total - 00665",24,ug/l,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/07/20 00:00:00+00
4164,WW232,,"Depth to bottom from water surface at sampling location, meters - 82903",0.22,m,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/08/06 00:00:00+00
4165,WW232,0.11,Dissolved Oxygen - 00300,5.7,mg/l,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/08/06 00:00:00+00
4166,WW232,0.11,Temperature - 00011,18.7,C,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/08/06 00:00:00+00
4167,WW232,,"Depth to bottom from water surface at sampling location, meters - 82903",0.21,m,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/08/15 00:00:00+00
4168,WW232,0.1,Dissolved Oxygen - 00300,8,mg/l,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/08/15 00:00:00+00
4169,WW232,0.1,Enterococci - 31639,285,MPN/100,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/08/15 00:00:00+00
4170,WW232,0.1,Fecal Coliform - 74055,146,MPN/100,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/08/15 00:00:00+00
4171,WW232,0.1,"Nitrate + Nitrite, Dissolved - 00631",1.595,mg/l,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/08/15 00:00:00+00
4172,WW232,0.1,"Nitrogen, Ammonia Dissolved as N - 00608",0.03,mg/l,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/08/15 00:00:00+00
4173,WW232,0.1,"Nitrogen, Total (unfiltered) - 00600",1.76,mg/l,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/08/15 00:00:00+00
4174,WW232,0.1,pH - 00400,7.02,S.U.,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/08/15 00:00:00+00
4175,WW232,0.1,"Phosphorus, Dissolved - 00666",14,ug/l,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/08/15 00:00:00+00
4176,WW232,0.1,"Phosphorus, Total - 00665",38,ug/l,GB 4 - Mill Brook (75 yards upstream from Meadow Street Culvert),2019/08/15 00:00:00+00
