OBJECTID,Station_Name,Depth,Parameter,Concentration,Unit,Monitoring_Location,Date_of_Sample
4678,WW192,0.1,Temperature - 00011,28.9,C,,2018/08/03 00:00:00+00
4679,WW192,1,Temperature - 00011,28.7,C,,2018/08/03 00:00:00+00
4680,WW192,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",35.3,ug/l,,2018/08/25 00:00:00+00
4681,WW192,,"Depth to bottom from water surface at sampling location, meters - 82903",1.35,,,2018/08/25 00:00:00+00
4682,WW192,1,"Nitrate + Nitrite, Dissolved - 00631",0.015,mg/l,,2018/08/25 00:00:00+00
4683,WW192,1,"Nitrogen, Ammonia Dissolved as N - 00608",0.05,ug/l,,2018/08/25 00:00:00+00
4684,WW192,1,"Nitrogen, Total (unfiltered) - 00600",1.525,ug/l,,2018/08/25 00:00:00+00
4685,WW192,1,"Phosphorus, Dissolved - 00666",7,ug/l,,2018/08/25 00:00:00+00
4686,WW192,1,"Phosphorus, Total - 00665",88,ug/l,,2018/08/25 00:00:00+00
4687,WW192,,Secchi Depth - 00069,0.62,,,2018/08/25 00:00:00+00
4688,WW192,0.1,Temperature - 00011,25.5,C,,2018/08/25 00:00:00+00
4689,WW192,1,Temperature - 00011,25.5,C,,2018/08/25 00:00:00+00
4690,WW192,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",26.2,ug/l,,2018/08/31 00:00:00+00
4691,WW192,1,Alkalinity - 00410,52.9,mg/l,,2018/09/21 00:00:00+00
4692,WW192,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",20.6,ug/l,,2018/09/21 00:00:00+00
4693,WW192,,"Depth to bottom from water surface at sampling location, meters - 82903",1.3,,,2018/09/21 00:00:00+00
4694,WW192,0.5,Enterococci - 31639,1,MPN/100ml,,2018/09/21 00:00:00+00
4695,WW192,1,"Nitrate + Nitrite, Dissolved - 00631",0.0075,mg/l,,2018/09/21 00:00:00+00
4696,WW192,1,"Nitrogen, Ammonia Dissolved as N - 00608",0.0425,ug/l,,2018/09/21 00:00:00+00
4697,WW192,1,"Nitrogen, Total (unfiltered) - 00600",1.145,ug/l,,2018/09/21 00:00:00+00
4698,WW192,1,pH - 00400,7.93,S.U.,,2018/09/21 00:00:00+00
4699,WW192,1,"Phosphorus, Dissolved - 00666",13,ug/l,,2018/09/21 00:00:00+00
4700,WW192,1,"Phosphorus, Total - 00665",39,ug/l,,2018/09/21 00:00:00+00
4701,WW192,,Secchi Depth - 00069,0.65,,,2018/09/21 00:00:00+00
4702,WW192,0.1,Temperature - 00011,21.4,C,,2018/09/21 00:00:00+00
4703,WW192,1,Temperature - 00011,21.2,C,,2018/09/21 00:00:00+00
4704,WW192,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",21.2,ug/l,,2018/09/30 00:00:00+00
4705,WW192,,"Depth to bottom from water surface at sampling location, meters - 82903",1.55,,,2018/09/30 00:00:00+00
4706,WW192,,Secchi Depth - 00069,0.6,,,2018/09/30 00:00:00+00
4707,WW192,0.1,Temperature - 00011,19.1,C,,2018/09/30 00:00:00+00
4708,WW192,1,Temperature - 00011,18.8,C,,2018/09/30 00:00:00+00
4709,WW192,1,Alkalinity - 00410,35.15,mg/l,,2018/10/22 00:00:00+00
4710,WW192,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",7,ug/l,,2018/10/22 00:00:00+00
4711,WW192,,"Depth to bottom from water surface at sampling location, meters - 82903",1.3,,,2018/10/22 00:00:00+00
4712,WW192,0.5,Enterococci - 31639,0.1,MPN/100ml,,2018/10/22 00:00:00+00
4713,WW192,1,"Nitrate + Nitrite, Dissolved - 00631",0.07,mg/l,,2018/10/22 00:00:00+00
4714,WW192,1,"Nitrogen, Ammonia Dissolved as N - 00608",0.225,ug/l,,2018/10/22 00:00:00+00
4715,WW192,1,"Nitrogen, Total (unfiltered) - 00600",0.965,ug/l,,2018/10/22 00:00:00+00
4716,WW192,1,pH - 00400,7.69,S.U.,,2018/10/22 00:00:00+00
4717,WW192,1,"Phosphorus, Dissolved - 00666",7,ug/l,,2018/10/22 00:00:00+00
4718,WW192,1,"Phosphorus, Total - 00665",30,ug/l,,2018/10/22 00:00:00+00
4719,WW192,,Secchi Depth - 00069,1,,,2018/10/22 00:00:00+00
4720,WW192,0.1,Temperature - 00011,10.9,C,,2018/10/22 00:00:00+00
4721,WW192,1,Temperature - 00011,10.5,C,,2018/10/22 00:00:00+00
4722,WW220,0.1,Chloride - 00940,92,mg/l,,2018/05/05 00:00:00+00
4723,WW220,,"Depth to bottom from water surface at sampling location, meters - 82903",0.2,,,2018/05/05 00:00:00+00
4724,WW220,0.1,Dissolved Oxygen - 00300,8.2,mg/l,,2018/05/05 00:00:00+00
4725,WW220,0.1,Enterococci - 31639,512,MPN/100ml,,2018/05/05 00:00:00+00
4726,WW220,0.1,Fecal Coliform - 74055,410,,,2018/05/05 00:00:00+00
4727,WW220,0.1,"Nitrate + Nitrite, Dissolved - 00631",2.415,mg/l,,2018/05/05 00:00:00+00
4728,WW220,0.1,"Nitrogen, Ammonia Dissolved as N - 00608",0.075,ug/l,,2018/05/05 00:00:00+00
4729,WW220,0.1,"Nitrogen, Total (unfiltered) - 00600",2.925,ug/l,,2018/05/05 00:00:00+00
4730,WW220,0.1,pH - 00400,7.11,S.U.,,2018/05/05 00:00:00+00
4731,WW220,0.1,"Phosphorus, Dissolved - 00666",13,ug/l,,2018/05/05 00:00:00+00
4732,WW220,0.1,"Phosphorus, Total - 00665",40,ug/l,,2018/05/05 00:00:00+00
4733,WW220,0.1,Temperature - 00011,15.1,C,,2018/05/05 00:00:00+00
4734,WW220,0.15,Dissolved Oxygen - 00300,7.4,mg/l,,2018/05/18 00:00:00+00
4735,WW220,0.15,Temperature - 00011,15.2,C,,2018/05/18 00:00:00+00
4736,WW220,0.15,Dissolved Oxygen - 00300,5.6,mg/l,,2018/06/02 00:00:00+00
4737,WW220,0.15,Temperature - 00011,17.4,C,,2018/06/02 00:00:00+00
4738,WW220,0.15,Chloride - 00940,98,mg/l,,2018/06/09 00:00:00+00
4739,WW220,0.15,Dissolved Oxygen - 00300,5.6,mg/l,,2018/06/09 00:00:00+00
4740,WW220,0.15,Enterococci - 31639,1043,MPN/100ml,,2018/06/09 00:00:00+00
4741,WW220,0.15,Fecal Coliform - 74055,759,,,2018/06/09 00:00:00+00
4742,WW220,0.15,"Nitrate + Nitrite, Dissolved - 00631",2.685,mg/l,,2018/06/09 00:00:00+00
4743,WW220,0.15,"Nitrogen, Ammonia Dissolved as N - 00608",0.095,ug/l,,2018/06/09 00:00:00+00
4744,WW220,0.15,"Nitrogen, Total (unfiltered) - 00600",3.025,ug/l,,2018/06/09 00:00:00+00
4745,WW220,0.15,pH - 00400,6.7,S.U.,,2018/06/09 00:00:00+00
4746,WW220,0.15,"Phosphorus, Dissolved - 00666",29,ug/l,,2018/06/09 00:00:00+00
4747,WW220,0.15,"Phosphorus, Total - 00665",42,ug/l,,2018/06/09 00:00:00+00
4748,WW220,0.15,Temperature - 00011,15.7,C,,2018/06/09 00:00:00+00
4749,WW220,0.2,Chloride - 00940,1491,mg/l,,2018/07/15 00:00:00+00
4750,WW220,0.2,"Nitrate + Nitrite, Dissolved - 00631",1.4175,mg/l,,2018/07/15 00:00:00+00
4751,WW220,0.2,"Nitrogen, Ammonia Dissolved as N - 00608",0.14,ug/l,,2018/07/15 00:00:00+00
4752,WW220,0.2,"Nitrogen, Total (unfiltered) - 00600",1.94,ug/l,,2018/07/15 00:00:00+00
4753,WW220,0.2,pH - 00400,7.1,S.U.,,2018/07/15 00:00:00+00
4754,WW220,0.2,"Phosphorus, Dissolved - 00666",10,ug/l,,2018/07/15 00:00:00+00
4755,WW220,0.2,"Phosphorus, Total - 00665",70,ug/l,,2018/07/15 00:00:00+00
4756,WW220,0.2,"Nitrogen, Ammonia Dissolved as N - 00608",0.03,ug/l,,2018/08/09 00:00:00+00
4757,WW220,0.2,"Nitrogen, Total (unfiltered) - 00600",3.19,ug/l,,2018/08/09 00:00:00+00
4758,WW220,0.2,pH - 00400,6.81,S.U.,,2018/08/09 00:00:00+00
4759,WW220,0.2,"Nitrate + Nitrite, Dissolved - 00631",2.845,mg/l,,2018/09/06 00:00:00+00
4760,WW220,0.2,"Phosphorus, Dissolved - 00666",15,ug/l,,2018/09/06 00:00:00+00
4761,WW220,0.2,"Phosphorus, Total - 00665",23,ug/l,,2018/09/06 00:00:00+00
4762,WW220,0.2,Enterococci - 31639,379,MPN/100ml,,2018/09/15 00:00:00+00
4763,WW220,0.2,Fecal Coliform - 74055,723,,,2018/09/15 00:00:00+00
4764,WW220,0.2,Fecal Coliform - 74055,691,,,2018/09/15 00:00:00+00
4765,WW220,0.2,"Nitrate + Nitrite, Dissolved - 00631",2.19,mg/l,,2018/09/15 00:00:00+00
4766,WW220,0.2,"Nitrogen, Ammonia Dissolved as N - 00608",0.095,ug/l,,2018/09/15 00:00:00+00
4767,WW220,0.2,"Nitrogen, Total (unfiltered) - 00600",2.3325,ug/l,,2018/09/15 00:00:00+00
4768,WW220,0.2,pH - 00400,6.73,S.U.,,2018/09/15 00:00:00+00
4769,WW220,0.2,"Phosphorus, Dissolved - 00666",17,ug/l,,2018/09/15 00:00:00+00
4770,WW220,0.2,"Phosphorus, Total - 00665",39,ug/l,,2018/09/15 00:00:00+00
4771,WW220,0.2,Chloride - 00940,101,mg/l,,2018/10/19 00:00:00+00
4772,WW220,0.2,Enterococci - 31639,179.2,MPN/100ml,,2018/10/19 00:00:00+00
4773,WW220,0.2,Fecal Coliform - 74055,909,,,2018/10/19 00:00:00+00
4774,WW220,0.2,Fecal Coliform - 74055,860,,,2018/10/19 00:00:00+00
4775,WW220,0.2,"Nitrate + Nitrite, Dissolved - 00631",2.73,mg/l,,2018/10/19 00:00:00+00
4776,WW220,0.2,"Nitrogen, Ammonia Dissolved as N - 00608",0.16,ug/l,,2018/10/19 00:00:00+00
4777,WW220,0.2,"Nitrogen, Total (unfiltered) - 00600",2.7675,ug/l,,2018/10/19 00:00:00+00
4778,WW220,0.2,pH - 00400,6.87,S.U.,,2018/10/19 00:00:00+00
4779,WW220,0.2,"Phosphorus, Dissolved - 00666",18,ug/l,,2018/10/19 00:00:00+00
4780,WW220,0.2,"Phosphorus, Total - 00665",23.5,ug/l,,2018/10/19 00:00:00+00
4781,WW221,0.5,Dissolved Oxygen - 00300,6.1,mg/l,,2018/05/04 00:00:00+00
4782,WW221,0.5,Enterococci - 31639,41,MPN/100ml,,2018/05/04 00:00:00+00
4783,WW221,0.5,Fecal Coliform - 74055,189,,,2018/05/04 00:00:00+00
4784,WW221,0.5,"Nitrate + Nitrite, Dissolved - 00631",1.645,mg/l,,2018/05/04 00:00:00+00
4785,WW221,0.5,"Nitrogen, Ammonia Dissolved as N - 00608",0.095,ug/l,,2018/05/04 00:00:00+00
4786,WW221,0.5,"Nitrogen, Total (unfiltered) - 00600",2.105,ug/l,,2018/05/04 00:00:00+00
4787,WW221,0.5,pH - 00400,6.89,S.U.,,2018/05/04 00:00:00+00
4788,WW221,0.5,"Phosphorus, Dissolved - 00666",10,ug/l,,2018/05/04 00:00:00+00
4789,WW221,0.2,"Phosphorus, Total - 00665",32,ug/l,,2018/05/04 00:00:00+00
4790,WW221,0.5,Temperature - 00011,17,C,,2018/05/04 00:00:00+00
4791,WW221,0.5,Dissolved Oxygen - 00300,5.8,mg/l,,2018/06/02 00:00:00+00
4792,WW221,0.1,Temperature - 00011,,C,,2018/06/02 00:00:00+00
4793,WW221,0.5,Temperature - 00011,14.9,C,,2018/06/02 00:00:00+00
4794,WW221,0.5,Dissolved Oxygen - 00300,7.1,mg/l,,2018/06/10 00:00:00+00
4795,WW221,0.5,Enterococci - 31639,97,MPN/100ml,,2018/06/10 00:00:00+00
4796,WW221,0.5,Fecal Coliform - 74055,377,,,2018/06/10 00:00:00+00
4797,WW221,0.5,"Nitrate + Nitrite, Dissolved - 00631",1.375,mg/l,,2018/06/10 00:00:00+00
4798,WW221,0.5,"Nitrogen, Ammonia Dissolved as N - 00608",0.04,ug/l,,2018/06/10 00:00:00+00
4799,WW221,0.5,"Nitrogen, Total (unfiltered) - 00600",1.71,ug/l,,2018/06/10 00:00:00+00
4800,WW221,0.5,pH - 00400,6.98,S.U.,,2018/06/10 00:00:00+00
4801,WW221,0.5,"Phosphorus, Dissolved - 00666",16,ug/l,,2018/06/10 00:00:00+00
4802,WW221,0.5,"Phosphorus, Total - 00665",31,ug/l,,2018/06/10 00:00:00+00
4803,WW221,0.1,Temperature - 00011,,C,,2018/06/10 00:00:00+00
4804,WW221,0.5,Temperature - 00011,18.1,C,,2018/06/10 00:00:00+00
4805,WW221,0.5,Dissolved Oxygen - 00300,5.2,mg/l,,2018/07/13 00:00:00+00
4806,WW221,0.5,Enterococci - 31639,663,MPN/100ml,,2018/07/13 00:00:00+00
4807,WW221,0.5,Fecal Coliform - 74055,583,,,2018/07/13 00:00:00+00
4808,WW221,0.5,"Nitrate + Nitrite, Dissolved - 00631",1.05,mg/l,,2018/07/13 00:00:00+00
4809,WW221,0.5,"Nitrogen, Ammonia Dissolved as N - 00608",0.07,ug/l,,2018/07/13 00:00:00+00
4810,WW221,0.5,"Nitrogen, Total (unfiltered) - 00600",1.415,ug/l,,2018/07/13 00:00:00+00
4811,WW221,0.5,pH - 00400,7.13,S.U.,,2018/07/13 00:00:00+00
4812,WW221,0.5,"Phosphorus, Dissolved - 00666",15,ug/l,,2018/07/13 00:00:00+00
4813,WW221,0.5,"Phosphorus, Total - 00665",31,ug/l,,2018/07/13 00:00:00+00
4814,WW221,0.1,Temperature - 00011,,C,,2018/07/13 00:00:00+00
4815,WW221,0.5,Temperature - 00011,19.9,C,,2018/07/13 00:00:00+00
4816,WW221,0.5,Enterococci - 31639,836,MPN/100ml,,2018/08/17 00:00:00+00
4817,WW221,0.5,Fecal Coliform - 74055,496,,,2018/08/17 00:00:00+00
4818,WW221,0.5,"Nitrate + Nitrite, Dissolved - 00631",0.775,mg/l,,2018/08/17 00:00:00+00
4819,WW221,0.5,"Nitrogen, Ammonia Dissolved as N - 00608",0.09,ug/l,,2018/08/17 00:00:00+00
4820,WW221,0.5,"Nitrogen, Total (unfiltered) - 00600",1.195,ug/l,,2018/08/17 00:00:00+00
4821,WW221,0.5,pH - 00400,7.07,S.U.,,2018/08/17 00:00:00+00
4822,WW221,0.5,"Phosphorus, Dissolved - 00666",17,ug/l,,2018/08/17 00:00:00+00
4823,WW221,0.5,"Phosphorus, Total - 00665",45,ug/l,,2018/08/17 00:00:00+00
4824,WW221,0.5,Enterococci - 31639,1670,MPN/100ml,,2018/09/14 00:00:00+00
4825,WW221,0.5,Fecal Coliform - 74055,1211,,,2018/09/14 00:00:00+00
4826,WW221,0.5,Fecal Coliform - 74055,4352,,,2018/09/14 00:00:00+00
4827,WW221,0.5,"Nitrate + Nitrite, Dissolved - 00631",0.585,mg/l,,2018/09/14 00:00:00+00
4828,WW221,0.5,"Nitrogen, Ammonia Dissolved as N - 00608",0.08,ug/l,,2018/09/14 00:00:00+00
4829,WW221,0.5,"Nitrogen, Total (unfiltered) - 00600",0.965,ug/l,,2018/09/14 00:00:00+00
4830,WW221,0.5,pH - 00400,7.07,S.U.,,2018/09/14 00:00:00+00
4831,WW221,0.5,"Phosphorus, Dissolved - 00666",17,ug/l,,2018/09/14 00:00:00+00
4832,WW221,0.5,"Phosphorus, Total - 00665",42,ug/l,,2018/09/14 00:00:00+00
4833,WW221,,"Depth to bottom from water surface at sampling location, meters - 82903",,,,2018/09/16 00:00:00+00
4834,WW221,0.5,Dissolved Oxygen - 00300,6.6,mg/l,,2018/09/16 00:00:00+00
4835,WW221,0.1,Temperature - 00011,,C,,2018/09/16 00:00:00+00
4836,WW221,0.5,Temperature - 00011,19.2,C,,2018/09/16 00:00:00+00
4837,WW221,0.5,Dissolved Oxygen - 00300,7,mg/l,,2018/10/20 00:00:00+00
4838,WW221,0.5,Enterococci - 31639,712,MPN/100ml,,2018/10/20 00:00:00+00
4839,WW221,0.5,Fecal Coliform - 74055,934,,,2018/10/20 00:00:00+00
4840,WW221,0.5,Fecal Coliform - 74055,798,,,2018/10/20 00:00:00+00
4841,WW221,0.5,"Nitrate + Nitrite, Dissolved - 00631",1.34,mg/l,,2018/10/20 00:00:00+00
4842,WW221,0.5,"Nitrogen, Ammonia Dissolved as N - 00608",0.085,ug/l,,2018/10/20 00:00:00+00
4843,WW221,0.5,"Nitrogen, Total (unfiltered) - 00600",1.475,ug/l,,2018/10/20 00:00:00+00
4844,WW221,0.5,pH - 00400,7.08,S.U.,,2018/10/20 00:00:00+00
4845,WW221,0.5,"Phosphorus, Dissolved - 00666",12,ug/l,,2018/10/20 00:00:00+00
4846,WW221,0.5,"Phosphorus, Total - 00665",35,ug/l,,2018/10/20 00:00:00+00
4847,WW221,0.1,Temperature - 00011,,C,,2018/10/20 00:00:00+00
4848,WW221,0.5,Temperature - 00011,10.1,C,,2018/10/20 00:00:00+00
4849,WW33,1,Alkalinity - 00410,71.67,mg/l,,2018/05/05 00:00:00+00
4850,WW33,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",26.7,ug/l,,2018/05/05 00:00:00+00
4851,WW33,,"Depth to bottom from water surface at sampling location, meters - 82903",3,,,2018/05/05 00:00:00+00
4852,WW33,1,Dissolved Oxygen - 00300,8,mg/l,,2018/05/05 00:00:00+00
4853,WW33,3,Dissolved Oxygen - 00300,4,mg/l,,2018/05/05 00:00:00+00
4854,WW33,0.5,Enterococci - 31639,1,MPN/100ml,,2018/05/05 00:00:00+00
4855,WW33,1,"Nitrate + Nitrite, Dissolved - 00631",0.3,mg/l,,2018/05/05 00:00:00+00
4856,WW33,3,"Nitrate + Nitrite, Dissolved - 00631",0.24,mg/l,,2018/05/05 00:00:00+00
4857,WW33,1,"Nitrogen, Ammonia Dissolved as N - 00608",0.135,ug/l,,2018/05/05 00:00:00+00
4858,WW33,3,"Nitrogen, Ammonia Dissolved as N - 00608",0.2,ug/l,,2018/05/05 00:00:00+00
4859,WW33,1,"Nitrogen, Total (unfiltered) - 00600",1.13,ug/l,,2018/05/05 00:00:00+00
4860,WW33,3,"Nitrogen, Total (unfiltered) - 00600",1.2,ug/l,,2018/05/05 00:00:00+00
4861,WW33,1,pH - 00400,7.27,S.U.,,2018/05/05 00:00:00+00
4862,WW33,3,pH - 00400,6.81,S.U.,,2018/05/05 00:00:00+00
4863,WW33,1,"Phosphorus, Dissolved - 00666",6,ug/l,,2018/05/05 00:00:00+00
4864,WW33,3,"Phosphorus, Dissolved - 00666",2,ug/l,,2018/05/05 00:00:00+00
4865,WW33,1,"Phosphorus, Total - 00665",26,ug/l,,2018/05/05 00:00:00+00
4866,WW33,3,"Phosphorus, Total - 00665",18,ug/l,,2018/05/05 00:00:00+00
4867,WW33,1,"Salinity, (ppt) - 00480",11.5,ppt,,2018/05/05 00:00:00+00
4868,WW33,3,"Salinity, (ppt) - 00480",12,ppt,,2018/05/05 00:00:00+00
4869,WW33,,Secchi Depth - 00069,0.85,,,2018/05/05 00:00:00+00
4870,WW33,0.1,Temperature - 00011,19,C,,2018/05/05 00:00:00+00
4871,WW33,1,Temperature - 00011,17,C,,2018/05/05 00:00:00+00
4872,WW33,3,Temperature - 00011,15,C,,2018/05/05 00:00:00+00
4873,WW33,,"Depth to bottom from water surface at sampling location, meters - 82903",3,,,2018/05/12 00:00:00+00
4874,WW33,,Secchi Depth - 00069,0.75,,,2018/05/12 00:00:00+00
4875,WW33,0.1,Temperature - 00011,19,C,,2018/05/12 00:00:00+00
4876,WW33,1,Temperature - 00011,19,C,,2018/05/12 00:00:00+00
4877,WW33,3,Temperature - 00011,17,C,,2018/05/12 00:00:00+00
4878,WW33,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",44,ug/l,,2018/05/20 00:00:00+00
4879,WW33,,"Depth to bottom from water surface at sampling location, meters - 82903",3,,,2018/05/20 00:00:00+00
4880,WW33,1,Dissolved Oxygen - 00300,8,mg/l,,2018/05/20 00:00:00+00
4881,WW33,3,Dissolved Oxygen - 00300,2,mg/l,,2018/05/20 00:00:00+00
4882,WW33,1,"Salinity, (ppt) - 00480",10.5,ppt,,2018/05/20 00:00:00+00
4883,WW33,3,"Salinity, (ppt) - 00480",12,ppt,,2018/05/20 00:00:00+00
4884,WW33,,Secchi Depth - 00069,0.55,,,2018/05/20 00:00:00+00
4885,WW33,0.1,Temperature - 00011,20,C,,2018/05/20 00:00:00+00
4886,WW33,1,Temperature - 00011,19,C,,2018/05/20 00:00:00+00
4887,WW33,3,Temperature - 00011,18.5,C,,2018/05/20 00:00:00+00
4888,WW33,,"Depth to bottom from water surface at sampling location, meters - 82903",3,,,2018/05/26 00:00:00+00
4889,WW33,,Secchi Depth - 00069,0.57,,,2018/05/26 00:00:00+00
4890,WW33,0.1,Temperature - 00011,21,C,,2018/05/26 00:00:00+00
4891,WW33,1,Temperature - 00011,21,C,,2018/05/26 00:00:00+00
4892,WW33,3,Temperature - 00011,18,C,,2018/05/26 00:00:00+00
4893,WW33,,Secchi Depth - 00069,0.9,,,2018/06/08 00:00:00+00
4894,WW33,0.1,Temperature - 00011,25,C,,2018/06/08 00:00:00+00
4895,WW33,1,Temperature - 00011,24,C,,2018/06/08 00:00:00+00
4896,WW33,3,Temperature - 00011,25,C,,2018/06/08 00:00:00+00
4897,WW33,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",24.2,ug/l,,2018/06/15 00:00:00+00
4898,WW33,,"Depth to bottom from water surface at sampling location, meters - 82903",3,,,2018/06/15 00:00:00+00
4899,WW33,1,Dissolved Oxygen - 00300,10,mg/l,,2018/06/15 00:00:00+00
4900,WW33,3,Dissolved Oxygen - 00300,2.5,mg/l,,2018/06/15 00:00:00+00
4901,WW33,1,"Salinity, (ppt) - 00480",9.5,ppt,,2018/06/15 00:00:00+00
4902,WW33,3,"Salinity, (ppt) - 00480",14,ppt,,2018/06/15 00:00:00+00
4903,WW33,,Secchi Depth - 00069,0.88,,,2018/06/15 00:00:00+00
4904,WW33,0.1,Temperature - 00011,22,C,,2018/06/15 00:00:00+00
4905,WW33,1,Temperature - 00011,21,C,,2018/06/15 00:00:00+00
4906,WW33,3,Temperature - 00011,21,C,,2018/06/15 00:00:00+00
4907,WW33,,Secchi Depth - 00069,0.8,,,2018/06/24 00:00:00+00
4908,WW33,0.1,Temperature - 00011,24,C,,2018/06/24 00:00:00+00
4909,WW33,1,Temperature - 00011,23,C,,2018/06/24 00:00:00+00
4910,WW33,3,Temperature - 00011,21,C,,2018/06/24 00:00:00+00
4911,WW33,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",17,ug/l,,2018/06/29 00:00:00+00
4912,WW33,,"Depth to bottom from water surface at sampling location, meters - 82903",3,,,2018/06/29 00:00:00+00
4913,WW33,1,Dissolved Oxygen - 00300,9,mg/l,,2018/06/29 00:00:00+00
4914,WW33,3,Dissolved Oxygen - 00300,0,mg/l,,2018/06/29 00:00:00+00
4915,WW33,1,"Salinity, (ppt) - 00480",10,ppt,,2018/06/29 00:00:00+00
4916,WW33,3,"Salinity, (ppt) - 00480",13.5,ppt,,2018/06/29 00:00:00+00
4917,WW33,,Secchi Depth - 00069,0.92,,,2018/06/29 00:00:00+00
4918,WW33,0.1,Temperature - 00011,28,C,,2018/06/29 00:00:00+00
4919,WW33,1,Temperature - 00011,25,C,,2018/06/29 00:00:00+00
4920,WW33,3,Temperature - 00011,24,C,,2018/06/29 00:00:00+00
4921,WW33,,"Depth to bottom from water surface at sampling location, meters - 82903",3,,,2018/07/07 00:00:00+00
4922,WW33,,Secchi Depth - 00069,0.8,,,2018/07/07 00:00:00+00
4923,WW33,0.1,Temperature - 00011,27,C,,2018/07/07 00:00:00+00
4924,WW33,1,Temperature - 00011,25,C,,2018/07/07 00:00:00+00
4925,WW33,3,Temperature - 00011,23,C,,2018/07/07 00:00:00+00
4926,WW33,1,Alkalinity - 00410,87.74,mg/l,,2018/07/14 00:00:00+00
4927,WW33,1,Alkalinity - 00410,86.04,mg/l,,2018/07/14 00:00:00+00
4928,WW33,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",11.2,ug/l,,2018/07/14 00:00:00+00
4929,WW33,,"Depth to bottom from water surface at sampling location, meters - 82903",3,,,2018/07/14 00:00:00+00
4930,WW33,1,Dissolved Oxygen - 00300,6,mg/l,,2018/07/14 00:00:00+00
4931,WW33,3,Dissolved Oxygen - 00300,0,mg/l,,2018/07/14 00:00:00+00
4932,WW33,0.5,Enterococci - 31639,31,MPN/100ml,,2018/07/14 00:00:00+00
4933,WW33,1,"Nitrate + Nitrite, Dissolved - 00631",0.065,mg/l,,2018/07/14 00:00:00+00
4934,WW33,3,"Nitrate + Nitrite, Dissolved - 00631",0.02,mg/l,,2018/07/14 00:00:00+00
4935,WW33,1,"Nitrogen, Ammonia Dissolved as N - 00608",0.16,ug/l,,2018/07/14 00:00:00+00
4936,WW33,3,"Nitrogen, Ammonia Dissolved as N - 00608",0.965,ug/l,,2018/07/14 00:00:00+00
4937,WW33,1,"Nitrogen, Total (unfiltered) - 00600",1.035,ug/l,,2018/07/14 00:00:00+00
4938,WW33,3,"Nitrogen, Total (unfiltered) - 00600",1.64,ug/l,,2018/07/14 00:00:00+00
4939,WW33,1,pH - 00400,7.6,S.U.,,2018/07/14 00:00:00+00
4940,WW33,1,pH - 00400,7.6,S.U.,,2018/07/14 00:00:00+00
4941,WW33,3,pH - 00400,7.03,S.U.,,2018/07/14 00:00:00+00
4942,WW33,1,"Phosphorus, Dissolved - 00666",7,ug/l,,2018/07/14 00:00:00+00
4943,WW33,3,"Phosphorus, Dissolved - 00666",59,ug/l,,2018/07/14 00:00:00+00
4944,WW33,1,"Phosphorus, Total - 00665",41,ug/l,,2018/07/14 00:00:00+00
4945,WW33,3,"Phosphorus, Total - 00665",96,ug/l,,2018/07/14 00:00:00+00
4946,WW33,1,"Salinity, (ppt) - 00480",10,ppt,,2018/07/14 00:00:00+00
4947,WW33,3,"Salinity, (ppt) - 00480",15,ppt,,2018/07/14 00:00:00+00
4948,WW33,,Secchi Depth - 00069,0.89,,,2018/07/14 00:00:00+00
4949,WW33,0.1,Temperature - 00011,27,C,,2018/07/14 00:00:00+00
4950,WW33,1,Temperature - 00011,27,C,,2018/07/14 00:00:00+00
4951,WW33,3,Temperature - 00011,25,C,,2018/07/14 00:00:00+00
4952,WW33,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",9,ug/l,,2018/07/27 00:00:00+00
4953,WW33,,"Depth to bottom from water surface at sampling location, meters - 82903",3,,,2018/07/27 00:00:00+00
4954,WW33,1,Dissolved Oxygen - 00300,7,mg/l,,2018/07/27 00:00:00+00
4955,WW33,3,Dissolved Oxygen - 00300,0,mg/l,,2018/07/27 00:00:00+00
4956,WW33,1,"Salinity, (ppt) - 00480",13,ppt,,2018/07/27 00:00:00+00
4957,WW33,3,"Salinity, (ppt) - 00480",16,ppt,,2018/07/27 00:00:00+00
4958,WW33,,Secchi Depth - 00069,1.65,,,2018/07/27 00:00:00+00
4959,WW33,0.1,Temperature - 00011,29,C,,2018/07/27 00:00:00+00
4960,WW33,1,Temperature - 00011,26,C,,2018/07/27 00:00:00+00
4961,WW33,3,Temperature - 00011,25,C,,2018/07/27 00:00:00+00
4962,WW33,1,"Chlorophyll a, water, fluorometric method, corrected for pheophytin - 32209",10,ug/l,,2018/08/10 00:00:00+00
4963,WW33,1,Dissolved Oxygen - 00300,5,mg/l,,2018/08/10 00:00:00+00
4964,WW33,3,Dissolved Oxygen - 00300,0,mg/l,,2018/08/10 00:00:00+00
